prefix,number_of_sites,backing_prefix
104.16.206.0/24,70,104.16.192.0/20
104.16.207.0/24,71,104.16.192.0/20
104.16.208.0/24,68,104.16.208.0/20
104.16.209.0/24,70,104.16.208.0/20
104.16.21.0/24,71,104.16.16.0/20
104.16.210.0/24,69,104.16.208.0/20
104.16.211.0/24,70,104.16.208.0/20
104.16.212.0/24,70,104.16.208.0/20
104.16.213.0/24,69,104.16.208.0/20
104.16.214.0/24,70,104.16.208.0/20
104.16.215.0/24,70,104.16.208.0/20
104.16.216.0/24,70,104.16.208.0/20
104.16.217.0/24,70,104.16.208.0/20
104.16.218.0/24,71,104.16.208.0/20
104.16.219.0/24,68,104.16.208.0/20
104.16.22.0/24,71,104.16.16.0/20
104.16.220.0/24,71,104.16.208.0/20
104.16.221.0/24,67,104.16.208.0/20
104.16.222.0/24,72,104.16.208.0/20
104.16.223.0/24,69,104.16.208.0/20
104.16.224.0/24,68,104.16.224.0/20
104.16.225.0/24,69,104.16.224.0/20
104.16.226.0/24,70,104.16.224.0/20
104.16.227.0/24,70,104.16.224.0/20
104.16.228.0/24,68,104.16.224.0/20
104.16.229.0/24,70,104.16.224.0/20
104.16.23.0/24,69,104.16.16.0/20
104.16.230.0/24,70,104.16.224.0/20
104.16.231.0/24,70,104.16.224.0/20
104.16.232.0/24,67,104.16.224.0/20
104.16.233.0/24,70,104.16.224.0/20
104.16.234.0/24,70,104.16.224.0/20
104.16.235.0/24,67,104.16.224.0/20
104.16.236.0/24,68,104.16.224.0/20
104.16.237.0/24,71,104.16.224.0/20
104.16.238.0/24,67,104.16.224.0/20
104.16.239.0/24,71,104.16.224.0/20
104.16.24.0/24,72,104.16.16.0/20
104.16.240.0/24,68,104.16.240.0/20
104.16.241.0/24,68,104.16.240.0/20
104.16.242.0/24,67,104.16.240.0/20
104.16.243.0/24,69,104.16.240.0/20
104.16.244.0/24,70,104.16.240.0/20
104.16.245.0/24,69,104.16.240.0/20
104.16.246.0/24,67,104.16.240.0/20
104.16.247.0/24,68,104.16.240.0/20
104.16.248.0/24,69,104.16.240.0/20
104.16.249.0/24,68,104.16.240.0/20
104.16.25.0/24,70,104.16.16.0/20
104.16.250.0/24,67,104.16.240.0/20
104.16.251.0/24,69,104.16.240.0/20
104.16.252.0/24,70,104.16.240.0/20
104.16.253.0/24,68,104.16.240.0/20
104.16.254.0/24,68,104.16.240.0/20
104.16.255.0/24,69,104.16.240.0/20
104.16.26.0/24,71,104.16.16.0/20
104.16.27.0/24,69,104.16.16.0/20
104.16.28.0/24,71,104.16.16.0/20
104.16.29.0/24,69,104.16.16.0/20
104.16.3.0/24,69,104.16.0.0/20
104.16.30.0/24,70,104.16.16.0/20
104.16.31.0/24,69,104.16.16.0/20
104.16.32.0/24,68,104.16.32.0/20
104.16.33.0/24,69,104.16.32.0/20
104.16.34.0/24,68,104.16.32.0/20
104.16.35.0/24,69,104.16.32.0/20
104.16.36.0/24,69,104.16.32.0/20
104.16.37.0/24,68,104.16.32.0/20
104.16.38.0/24,69,104.16.32.0/20
104.16.39.0/24,67,104.16.32.0/20
104.16.4.0/24,72,104.16.0.0/20
104.16.40.0/24,68,104.16.32.0/20
104.16.41.0/24,68,104.16.32.0/20
104.16.42.0/24,69,104.16.32.0/20
104.16.43.0/24,69,104.16.32.0/20
104.16.44.0/24,68,104.16.32.0/20
104.16.45.0/24,68,104.16.32.0/20
104.16.46.0/24,68,104.16.32.0/20
104.16.47.0/24,68,104.16.32.0/20
104.16.48.0/24,69,104.16.48.0/20
104.16.49.0/24,69,104.16.48.0/20
104.16.5.0/24,72,104.16.0.0/20
104.16.50.0/24,71,104.16.48.0/20
104.16.51.0/24,68,104.16.48.0/20
104.16.52.0/24,71,104.16.48.0/20
104.16.53.0/24,69,104.16.48.0/20
104.16.54.0/24,71,104.16.48.0/20
104.16.55.0/24,70,104.16.48.0/20
104.16.56.0/24,69,104.16.48.0/20
104.16.57.0/24,70,104.16.48.0/20
104.16.58.0/24,70,104.16.48.0/20
104.16.59.0/24,70,104.16.48.0/20
104.16.6.0/24,70,104.16.0.0/20
104.16.60.0/24,70,104.16.48.0/20
104.16.61.0/24,67,104.16.48.0/20
104.16.62.0/24,67,104.16.48.0/20
104.16.63.0/24,71,104.16.48.0/20
104.16.64.0/24,69,104.16.64.0/20
104.16.65.0/24,69,104.16.64.0/20
104.16.66.0/24,70,104.16.64.0/20
104.16.67.0/24,68,104.16.64.0/20
104.16.68.0/24,70,104.16.64.0/20
104.16.69.0/24,70,104.16.64.0/20
104.16.7.0/24,70,104.16.0.0/20
104.16.70.0/24,67,104.16.64.0/20
104.16.71.0/24,69,104.16.64.0/20
104.16.72.0/24,68,104.16.64.0/20
104.16.73.0/24,70,104.16.64.0/20
104.16.74.0/24,70,104.16.64.0/20
104.16.75.0/24,68,104.16.64.0/20
104.16.76.0/24,69,104.16.64.0/20
104.16.77.0/24,67,104.16.64.0/20
104.16.78.0/24,69,104.16.64.0/20
104.16.79.0/24,68,104.16.64.0/20
104.16.8.0/24,70,104.16.0.0/20
104.16.80.0/24,68,104.16.80.0/20
104.16.81.0/24,70,104.16.80.0/20
104.16.82.0/24,70,104.16.80.0/20
104.16.83.0/24,70,104.16.80.0/20
104.16.84.0/24,69,104.16.80.0/20
104.16.85.0/24,71,104.16.80.0/20
104.16.86.0/24,70,104.16.80.0/20
104.16.87.0/24,68,104.16.80.0/20
104.16.88.0/24,70,104.16.80.0/20
104.16.89.0/24,68,104.16.80.0/20
104.16.9.0/24,70,104.16.0.0/20
104.16.90.0/24,69,104.16.80.0/20
104.16.91.0/24,68,104.16.80.0/20
104.16.92.0/24,69,104.16.80.0/20
104.16.93.0/24,69,104.16.80.0/20
104.16.94.0/24,69,104.16.80.0/20
104.16.95.0/24,68,104.16.80.0/20
104.16.96.0/24,70,104.16.96.0/20
104.16.97.0/24,69,104.16.96.0/20
104.16.98.0/24,68,104.16.96.0/20
104.16.99.0/24,70,104.16.96.0/20
104.160.158.0/24,29,104.160.128.0/19
104.160.160.0/24,2,104.160.160.0/24
104.166.110.0/24,6,104.166.110.0/24
104.17.0.0/24,69,104.17.0.0/20
104.17.1.0/24,70,104.17.0.0/20
104.17.10.0/24,69,104.17.0.0/20
104.17.100.0/24,72,104.17.96.0/20
104.17.101.0/24,69,104.17.96.0/20
104.17.102.0/24,72,104.17.96.0/20
104.17.103.0/24,71,104.17.96.0/20
104.17.104.0/24,70,104.17.96.0/20
104.17.105.0/24,70,104.17.96.0/20
104.17.106.0/24,71,104.17.96.0/20
104.17.107.0/24,68,104.17.96.0/20
104.17.108.0/24,70,104.17.96.0/20
104.17.109.0/24,70,104.17.96.0/20
104.17.11.0/24,69,104.17.0.0/20
104.17.110.0/24,69,104.17.96.0/20
104.17.111.0/24,72,104.17.96.0/20
104.17.112.0/24,70,104.17.112.0/20
104.17.113.0/24,69,104.17.112.0/20
104.17.114.0/24,69,104.17.112.0/20
104.17.115.0/24,70,104.17.112.0/20
104.17.116.0/24,69,104.17.112.0/20
104.17.117.0/24,71,104.17.112.0/20
104.17.118.0/24,69,104.17.112.0/20
104.17.119.0/24,67,104.17.112.0/20
104.17.12.0/24,70,104.17.0.0/20
104.17.120.0/24,69,104.17.112.0/20
104.17.121.0/24,70,104.17.112.0/20
104.17.122.0/24,68,104.17.112.0/20
104.17.123.0/24,69,104.17.112.0/20
104.17.124.0/24,70,104.17.112.0/20
104.17.125.0/24,70,104.17.112.0/20
104.17.126.0/24,68,104.17.112.0/20
104.17.127.0/24,70,104.17.112.0/20
104.17.128.0/24,70,104.17.128.0/20
104.17.129.0/24,69,104.17.128.0/20
104.17.13.0/24,71,104.17.0.0/20
104.17.130.0/24,71,104.17.128.0/20
104.17.131.0/24,70,104.17.128.0/20
104.17.132.0/24,71,104.17.128.0/20
104.17.133.0/24,71,104.17.128.0/20
104.17.134.0/24,69,104.17.128.0/20
104.17.135.0/24,69,104.17.128.0/20
104.17.136.0/24,72,104.17.128.0/20
104.17.137.0/24,69,104.17.128.0/20
104.17.138.0/24,72,104.17.128.0/20
104.17.139.0/24,72,104.17.128.0/20
104.17.14.0/24,70,104.17.0.0/20
104.17.140.0/24,72,104.17.128.0/20
104.17.141.0/24,70,104.17.128.0/20
104.17.142.0/24,72,104.17.128.0/20
104.17.143.0/24,71,104.17.128.0/20
104.17.144.0/24,72,104.17.144.0/20
104.17.145.0/24,71,104.17.144.0/20
104.17.146.0/24,68,104.17.144.0/20
104.17.147.0/24,70,104.17.144.0/20
104.17.148.0/24,70,104.17.144.0/20
104.17.149.0/24,70,104.17.144.0/20
104.17.15.0/24,68,104.17.0.0/20
104.17.150.0/24,71,104.17.144.0/20
104.17.151.0/24,71,104.17.144.0/20
104.17.152.0/24,71,104.17.144.0/20
104.17.153.0/24,68,104.17.144.0/20
104.17.154.0/24,71,104.17.144.0/20
104.17.155.0/24,69,104.17.144.0/20
104.17.156.0/24,71,104.17.144.0/20
104.17.157.0/24,70,104.17.144.0/20
104.17.158.0/24,70,104.17.144.0/20
104.17.159.0/24,69,104.17.144.0/20
104.17.16.0/24,71,104.17.16.0/20
104.17.160.0/24,71,104.17.160.0/20
104.17.161.0/24,70,104.17.160.0/20
104.17.162.0/24,69,104.17.160.0/20
104.17.163.0/24,72,104.17.160.0/20
104.17.164.0/24,71,104.17.160.0/20
104.17.165.0/24,71,104.17.160.0/20
104.17.166.0/24,70,104.17.160.0/20
104.17.167.0/24,69,104.17.160.0/20
104.17.168.0/24,72,104.17.160.0/20
104.17.169.0/24,71,104.17.160.0/20
104.17.17.0/24,71,104.17.16.0/20
104.17.170.0/24,72,104.17.160.0/20
104.17.171.0/24,68,104.17.160.0/20
104.17.172.0/24,72,104.17.160.0/20
104.17.173.0/24,70,104.17.160.0/20
104.17.174.0/24,70,104.17.160.0/20
104.17.175.0/24,69,104.17.160.0/20
104.17.176.0/24,72,104.17.176.0/20
104.17.177.0/24,70,104.17.176.0/20
104.17.178.0/24,70,104.17.176.0/20
104.17.179.0/24,69,104.17.176.0/20
104.17.18.0/24,67,104.17.16.0/20
104.17.180.0/24,72,104.17.176.0/20
104.17.181.0/24,71,104.17.176.0/20
104.17.182.0/24,69,104.17.176.0/20
104.17.183.0/24,70,104.17.176.0/20
104.17.184.0/24,70,104.17.176.0/20
104.17.185.0/24,69,104.17.176.0/20
104.17.186.0/24,70,104.17.176.0/20
104.17.187.0/24,70,104.17.176.0/20
104.17.188.0/24,71,104.17.176.0/20
104.17.189.0/24,69,104.17.176.0/20
104.17.19.0/24,71,104.17.16.0/20
104.17.190.0/24,69,104.17.176.0/20
104.17.191.0/24,71,104.17.176.0/20
104.17.192.0/24,71,104.17.192.0/20
104.17.193.0/24,68,104.17.192.0/20
104.17.194.0/24,72,104.17.192.0/20
104.17.195.0/24,71,104.17.192.0/20
104.17.196.0/24,71,104.17.192.0/20
104.17.197.0/24,70,104.17.192.0/20
104.17.198.0/24,71,104.17.192.0/20
104.17.199.0/24,70,104.17.192.0/20
104.17.2.0/24,69,104.17.0.0/20
104.17.20.0/24,71,104.17.16.0/20
104.17.200.0/24,72,104.17.192.0/20
104.17.201.0/24,70,104.17.192.0/20
104.17.202.0/24,69,104.17.192.0/20
104.17.203.0/24,70,104.17.192.0/20
104.17.204.0/24,71,104.17.192.0/20
104.17.205.0/24,70,104.17.192.0/20
104.17.206.0/24,70,104.17.192.0/20
104.17.207.0/24,69,104.17.192.0/20
104.17.208.0/24,69,104.17.208.0/20
104.17.209.0/24,70,104.17.208.0/20
104.17.21.0/24,71,104.17.16.0/20
104.17.210.0/24,69,104.17.208.0/20
104.17.211.0/24,71,104.17.208.0/20
104.17.212.0/24,72,104.17.208.0/20
104.17.213.0/24,69,104.17.208.0/20
104.17.214.0/24,71,104.17.208.0/20
104.17.215.0/24,71,104.17.208.0/20
104.17.216.0/24,70,104.17.208.0/20
104.17.217.0/24,70,104.17.208.0/20
104.17.218.0/24,70,104.17.208.0/20
104.17.219.0/24,69,104.17.208.0/20
104.17.22.0/24,71,104.17.16.0/20
104.17.220.0/24,72,104.17.208.0/20
104.17.221.0/24,70,104.17.208.0/20
104.17.222.0/24,70,104.17.208.0/20
104.17.223.0/24,70,104.17.208.0/20
104.17.224.0/24,71,104.17.224.0/20
104.17.225.0/24,71,104.17.224.0/20
104.17.226.0/24,71,104.17.224.0/20
104.17.227.0/24,70,104.17.224.0/20
104.17.228.0/24,69,104.17.224.0/20
104.17.229.0/24,67,104.17.224.0/20
104.17.23.0/24,70,104.17.16.0/20
104.17.230.0/24,69,104.17.224.0/20
104.17.231.0/24,69,104.17.224.0/20
104.17.232.0/24,71,104.17.224.0/20
104.17.233.0/24,69,104.17.224.0/20
104.17.234.0/24,69,104.17.224.0/20
104.17.235.0/24,70,104.17.224.0/20
104.17.236.0/24,71,104.17.224.0/20
104.17.237.0/24,69,104.17.224.0/20
104.17.238.0/24,71,104.17.224.0/20
104.17.239.0/24,70,104.17.224.0/20
104.17.24.0/24,72,104.17.16.0/20
104.17.240.0/24,71,104.17.240.0/20
104.17.241.0/24,69,104.17.240.0/20
104.17.242.0/24,72,104.17.240.0/20
104.17.243.0/24,70,104.17.240.0/20
104.17.244.0/24,70,104.17.240.0/20
104.17.245.0/24,69,104.17.240.0/20
104.17.246.0/24,70,104.17.240.0/20
104.17.247.0/24,70,104.17.240.0/20
104.17.248.0/24,69,104.17.240.0/20
104.17.249.0/24,71,104.17.240.0/20
104.17.25.0/24,70,104.17.16.0/20
104.17.250.0/24,71,104.17.240.0/20
104.17.251.0/24,70,104.17.240.0/20
104.17.252.0/24,71,104.17.240.0/20
104.17.253.0/24,68,104.17.240.0/20
104.17.254.0/24,71,104.17.240.0/20
104.17.255.0/24,72,104.17.240.0/20
104.17.26.0/24,70,104.17.16.0/20
104.17.27.0/24,70,104.17.16.0/20
104.17.28.0/24,72,104.17.16.0/20
104.17.29.0/24,69,104.17.16.0/20
104.17.3.0/24,69,104.17.0.0/20
104.17.30.0/24,71,104.17.16.0/20
104.17.31.0/24,69,104.17.16.0/20
104.17.32.0/24,70,104.17.32.0/20
104.17.33.0/24,72,104.17.32.0/20
104.17.34.0/24,69,104.17.32.0/20
104.17.35.0/24,72,104.17.32.0/20
104.17.36.0/24,72,104.17.32.0/20
104.17.37.0/24,71,104.17.32.0/20
104.17.38.0/24,70,104.17.32.0/20
104.17.39.0/24,71,104.17.32.0/20
104.17.4.0/24,67,104.17.0.0/20
104.17.40.0/24,69,104.17.32.0/20
104.17.41.0/24,71,104.17.32.0/20
104.17.42.0/24,69,104.17.32.0/20
104.17.43.0/24,70,104.17.32.0/20
104.17.44.0/24,70,104.17.32.0/20
104.17.45.0/24,70,104.17.32.0/20
104.17.46.0/24,71,104.17.32.0/20
104.17.47.0/24,72,104.17.32.0/20
104.17.48.0/24,69,104.17.48.0/20
104.17.49.0/24,69,104.17.48.0/20
104.17.5.0/24,69,104.17.0.0/20
104.17.50.0/24,70,104.17.48.0/20
104.17.51.0/24,69,104.17.48.0/20
104.17.52.0/24,69,104.17.48.0/20
104.17.53.0/24,68,104.17.48.0/20
104.17.54.0/24,70,104.17.48.0/20
104.17.55.0/24,69,104.17.48.0/20
104.17.56.0/24,70,104.17.48.0/20
104.17.57.0/24,70,104.17.48.0/20
104.17.58.0/24,70,104.17.48.0/20
104.17.59.0/24,69,104.17.48.0/20
104.17.6.0/24,68,104.17.0.0/20
104.17.60.0/24,70,104.17.48.0/20
