prefix,number_of_sites,backing_prefix
1.0.0.0/24,72,1.0.0.0/24
1.1.1.0/24,71,1.1.1.0/24
1.10.10.0/24,2,1.10.10.0/24
1.12.0.0/24,5,1.12.0.0/20
1.12.12.0/24,3,1.12.0.0/20
1.12.13.0/24,3,1.12.0.0/20
1.12.14.0/24,4,1.12.14.0/23
1.12.15.0/24,4,1.12.14.0/23
1.12.34.0/24,3,1.12.34.0/23
100.0.0.0/24,2,100.0.0.0/16
101.32.132.0/24,2,101.32.132.0/24
101.32.140.0/24,2,101.32.140.0/24
101.46.248.0/24,3,101.46.248.0/22
101.46.249.0/24,3,101.46.248.0/22
101.47.95.0/24,2,101.47.95.0/24
102.132.188.0/24,64,102.132.188.0/24
102.177.176.0/24,64,102.177.176.0/24
102.177.189.0/24,65,102.177.189.0/24
103.107.226.0/24,3,103.107.226.0/24
103.107.227.0/24,3,103.107.227.0/24
103.11.212.0/24,62,103.11.212.0/24
103.11.214.0/24,64,103.11.214.0/24
103.116.7.0/24,63,103.116.7.0/24
103.123.130.0/24,3,103.123.130.0/24
103.123.131.0/24,45,103.123.131.0/24
103.133.1.0/24,66,103.133.1.0/24
103.135.109.0/24,2,103.135.109.0/24
103.135.111.0/24,4,103.135.111.0/24
103.138.240.0/24,2,103.138.240.0/23
103.14.173.0/24,4,103.14.173.0/24
103.14.174.0/24,4,103.14.174.0/24
103.14.244.0/24,5,103.14.244.0/23
103.14.246.0/24,5,103.14.246.0/23
103.141.214.0/24,45,103.141.214.0/24
103.143.86.0/24,2,103.143.86.0/24
103.144.246.0/24,2,103.144.246.0/24
103.145.230.0/24,4,103.145.230.0/24
103.15.148.0/24,3,103.15.148.0/22
103.150.251.0/24,4,103.150.251.0/24
103.157.55.0/24,44,103.157.55.0/24
103.157.56.0/24,4,103.157.56.0/24
103.160.204.0/24,63,103.160.204.0/24
103.163.2.0/24,4,103.163.2.0/24
103.165.152.0/24,43,103.165.152.0/24
103.165.153.0/24,43,103.165.153.0/24
103.165.192.0/24,5,103.165.192.0/24
103.165.193.0/24,2,103.165.193.0/24
103.165.99.0/24,3,103.165.99.0/24
103.168.156.0/24,50,103.168.156.0/24
103.168.157.0/24,52,103.168.157.0/24
103.168.42.0/24,4,103.168.42.0/24
103.168.43.0/24,4,103.168.43.0/24
103.169.142.0/24,64,103.169.142.0/24
103.169.213.0/24,43,103.169.213.0/24
103.17.56.0/24,4,103.17.56.0/24
103.172.110.0/24,62,103.172.110.0/23
103.172.111.0/24,63,103.172.110.0/23
103.172.191.0/24,64,103.172.191.0/24
103.176.219.0/24,2,103.176.218.0/23
103.177.196.0/24,52,103.177.196.0/24
103.177.197.0/24,50,103.177.197.0/24
103.177.50.0/24,43,103.177.50.0/23
103.179.37.0/24,15,103.179.37.0/24
103.180.114.0/24,4,103.180.114.0/24
103.180.115.0/24,3,103.180.115.0/24
103.182.250.0/24,49,103.182.250.0/24
103.182.251.0/24,51,103.182.251.0/24
103.187.240.0/24,4,103.187.240.0/23
103.19.177.0/24,3,103.19.177.0/24
103.19.178.0/24,3,103.19.178.0/24
103.19.179.0/24,3,103.19.179.0/24
103.197.55.0/24,2,103.197.55.0/24
103.2.237.0/24,4,103.2.237.0/24
103.2.57.0/24,4,103.2.57.0/24
103.21.244.0/24,39,103.21.244.0/24
103.22.149.0/24,7,103.22.149.0/24
103.22.157.0/24,6,103.22.157.0/24
103.227.200.0/24,4,103.227.200.0/24
103.227.201.0/24,4,103.227.201.0/24
103.227.202.0/24,4,103.227.202.0/24
103.227.64.0/24,3,103.227.64.0/23
103.230.172.0/24,4,103.230.172.0/22
103.230.173.0/24,4,103.230.172.0/22
103.239.10.0/24,2,103.239.8.0/22
103.240.228.0/24,3,103.240.228.0/22
103.242.247.0/24,2,103.242.247.0/24
103.242.79.0/24,44,103.242.79.0/24
103.245.216.0/24,4,103.245.216.0/24
103.245.217.0/24,4,103.245.217.0/24
103.245.219.0/24,4,103.245.219.0/24
103.245.228.0/24,65,103.245.228.0/24
103.245.229.0/24,66,103.245.229.0/24
103.247.185.0/24,8,103.247.185.0/24
103.247.186.0/24,4,103.247.186.0/24
103.247.3.0/24,12,103.247.0.0/22
103.247.36.0/24,38,103.247.36.0/24
103.247.37.0/24,17,103.247.37.0/24
103.248.10.0/24,43,103.248.10.0/24
103.249.70.0/24,11,103.249.70.0/24
103.250.6.0/24,2,103.250.6.0/24
103.253.133.0/24,4,103.253.133.0/24
103.255.194.0/24,4,103.255.194.0/23
103.29.174.0/24,2,103.29.174.0/23
103.35.126.0/24,4,103.35.126.0/24
103.38.221.0/24,50,103.38.221.0/24
103.41.69.0/24,13,103.41.68.0/22
103.41.70.0/24,13,103.41.70.0/24
103.41.71.0/24,14,103.41.68.0/22
103.49.80.0/24,4,103.49.80.0/24
103.49.81.0/24,5,103.49.81.0/24
103.49.82.0/24,5,103.49.82.0/24
103.49.83.0/24,5,103.49.83.0/24
103.52.117.0/24,2,103.52.117.0/24
103.55.254.0/24,45,103.55.254.0/23
103.55.255.0/24,44,103.55.254.0/23
103.56.211.0/24,44,103.56.211.0/24
103.61.61.0/24,2,103.61.61.0/24
103.61.62.0/24,2,103.61.62.0/24
103.61.63.0/24,2,103.61.63.0/24
103.66.132.0/24,2,103.66.132.0/23
103.73.115.0/24,44,103.73.115.0/24
103.74.240.0/24,2,103.74.240.0/24
103.74.241.0/24,2,103.74.240.0/22
103.77.224.0/24,6,103.77.224.0/24
103.79.5.0/24,2,103.79.4.0/22
103.80.4.0/24,2,103.80.4.0/24
103.80.5.0/24,8,103.80.5.0/24
103.80.6.0/24,51,103.80.6.0/24
103.82.155.0/24,4,103.82.155.0/24
103.85.42.0/24,34,103.85.42.0/24
103.85.43.0/24,14,103.85.43.0/24
103.86.96.0/24,4,103.86.96.0/24
103.86.99.0/24,4,103.86.99.0/24
103.87.91.0/24,3,103.87.91.0/24
103.89.143.0/24,3,103.89.143.0/24
103.93.64.0/24,10,103.93.64.0/24
103.93.66.0/24,10,103.93.66.0/24
103.97.55.0/24,3,103.97.55.0/24
104.102.245.0/24,28,104.102.245.0/24
104.103.234.0/24,5,104.103.234.0/24
104.104.58.0/24,5,104.104.58.0/24
104.107.211.0/24,14,104.107.211.0/24
104.109.10.0/24,13,104.109.10.0/24
104.109.11.0/24,13,104.109.11.0/24
104.109.12.0/24,2,104.109.12.0/24
104.129.164.0/24,66,104.129.164.0/22
104.129.165.0/24,65,104.129.164.0/22
104.129.166.0/24,64,104.129.164.0/22
104.129.167.0/24,64,104.129.164.0/22
104.133.128.0/24,44,104.133.128.0/23
104.134.238.0/24,2,104.132.0.0/14
104.142.251.0/24,2,104.142.251.0/24
104.143.2.0/24,5,104.143.2.0/24
104.143.3.0/24,5,104.143.3.0/24
104.152.119.0/24,19,104.152.119.0/24
104.153.197.0/24,5,104.153.197.0/24
104.153.199.0/24,3,104.153.199.0/24
104.156.80.0/24,48,104.156.80.0/24
104.156.81.0/24,48,104.156.81.0/24
104.156.84.0/24,48,104.156.84.0/24
104.156.85.0/24,48,104.156.85.0/24
104.16.0.0/24,70,104.16.0.0/20
104.16.1.0/24,71,104.16.0.0/20
104.16.10.0/24,70,104.16.0.0/20
104.16.100.0/24,69,104.16.96.0/20
104.16.101.0/24,69,104.16.96.0/20
104.16.102.0/24,70,104.16.96.0/20
104.16.103.0/24,69,104.16.96.0/20
104.16.104.0/24,69,104.16.96.0/20
104.16.105.0/24,70,104.16.96.0/20
104.16.106.0/24,69,104.16.96.0/20
104.16.107.0/24,69,104.16.96.0/20
104.16.108.0/24,70,104.16.96.0/20
104.16.109.0/24,68,104.16.96.0/20
104.16.11.0/24,71,104.16.0.0/20
104.16.110.0/24,70,104.16.96.0/20
104.16.111.0/24,69,104.16.96.0/20
104.16.112.0/24,69,104.16.112.0/20
104.16.113.0/24,70,104.16.112.0/20
104.16.114.0/24,71,104.16.112.0/20
104.16.115.0/24,70,104.16.112.0/20
104.16.116.0/24,71,104.16.112.0/20
104.16.117.0/24,70,104.16.112.0/20
104.16.118.0/24,68,104.16.112.0/20
104.16.119.0/24,72,104.16.112.0/20
104.16.12.0/24,71,104.16.0.0/20
104.16.120.0/24,69,104.16.112.0/20
104.16.121.0/24,69,104.16.112.0/20
104.16.122.0/24,70,104.16.112.0/20
104.16.123.0/24,69,104.16.112.0/20
104.16.124.0/24,72,104.16.112.0/20
104.16.125.0/24,71,104.16.112.0/20
104.16.126.0/24,71,104.16.112.0/20
104.16.127.0/24,72,104.16.112.0/20
104.16.128.0/24,71,104.16.128.0/20
104.16.129.0/24,71,104.16.128.0/20
104.16.13.0/24,69,104.16.0.0/20
104.16.130.0/24,68,104.16.128.0/20
104.16.131.0/24,69,104.16.128.0/20
104.16.132.0/24,70,104.16.128.0/20
104.16.133.0/24,71,104.16.128.0/20
104.16.134.0/24,68,104.16.128.0/20
104.16.135.0/24,71,104.16.128.0/20
104.16.136.0/24,70,104.16.128.0/20
104.16.137.0/24,70,104.16.128.0/20
104.16.138.0/24,69,104.16.128.0/20
104.16.139.0/24,72,104.16.128.0/20
104.16.14.0/24,68,104.16.0.0/20
104.16.140.0/24,71,104.16.128.0/20
104.16.141.0/24,71,104.16.128.0/20
104.16.142.0/24,69,104.16.128.0/20
104.16.143.0/24,72,104.16.128.0/20
104.16.144.0/24,69,104.16.144.0/20
104.16.145.0/24,68,104.16.144.0/20
104.16.146.0/24,68,104.16.144.0/20
104.16.147.0/24,70,104.16.144.0/20
104.16.148.0/24,69,104.16.144.0/20
104.16.149.0/24,69,104.16.144.0/20
104.16.15.0/24,69,104.16.0.0/20
104.16.150.0/24,68,104.16.144.0/20
104.16.151.0/24,68,104.16.144.0/20
104.16.152.0/24,70,104.16.144.0/20
104.16.153.0/24,68,104.16.144.0/20
104.16.154.0/24,69,104.16.144.0/20
104.16.155.0/24,70,104.16.144.0/20
104.16.156.0/24,69,104.16.144.0/20
104.16.157.0/24,70,104.16.144.0/20
104.16.158.0/24,70,104.16.144.0/20
104.16.159.0/24,69,104.16.144.0/20
104.16.16.0/24,70,104.16.16.0/20
104.16.160.0/24,71,104.16.160.0/20
104.16.161.0/24,71,104.16.160.0/20
104.16.162.0/24,71,104.16.160.0/20
104.16.163.0/24,69,104.16.160.0/20
104.16.164.0/24,70,104.16.160.0/20
104.16.165.0/24,69,104.16.160.0/20
104.16.166.0/24,69,104.16.160.0/20
104.16.167.0/24,71,104.16.160.0/20
104.16.168.0/24,70,104.16.160.0/20
104.16.169.0/24,69,104.16.160.0/20
104.16.17.0/24,71,104.16.16.0/20
104.16.170.0/24,70,104.16.160.0/20
104.16.171.0/24,71,104.16.160.0/20
104.16.172.0/24,70,104.16.160.0/20
104.16.173.0/24,72,104.16.160.0/20
104.16.174.0/24,70,104.16.160.0/20
104.16.175.0/24,69,104.16.160.0/20
104.16.176.0/24,72,104.16.176.0/20
104.16.177.0/24,70,104.16.176.0/20
104.16.178.0/24,70,104.16.176.0/20
104.16.179.0/24,72,104.16.176.0/20
104.16.18.0/24,70,104.16.16.0/20
104.16.180.0/24,71,104.16.176.0/20
104.16.181.0/24,71,104.16.176.0/20
104.16.182.0/24,69,104.16.176.0/20
104.16.183.0/24,71,104.16.176.0/20
104.16.184.0/24,71,104.16.176.0/20
104.16.185.0/24,71,104.16.176.0/20
104.16.186.0/24,70,104.16.176.0/20
104.16.187.0/24,72,104.16.176.0/20
104.16.188.0/24,70,104.16.176.0/20
104.16.189.0/24,72,104.16.176.0/20
104.16.19.0/24,71,104.16.16.0/20
104.16.190.0/24,71,104.16.176.0/20
104.16.191.0/24,69,104.16.176.0/20
104.16.192.0/24,71,104.16.192.0/20
104.16.193.0/24,71,104.16.192.0/20
104.16.194.0/24,70,104.16.192.0/20
104.16.195.0/24,68,104.16.192.0/20
104.16.196.0/24,70,104.16.192.0/20
104.16.197.0/24,71,104.16.192.0/20
104.16.198.0/24,70,104.16.192.0/20
104.16.199.0/24,71,104.16.192.0/20
104.16.2.0/24,71,104.16.0.0/20
104.16.20.0/24,71,104.16.16.0/20
104.16.200.0/24,71,104.16.192.0/20
104.16.201.0/24,72,104.16.192.0/20
104.16.202.0/24,69,104.16.192.0/20
104.16.203.0/24,72,104.16.192.0/20
104.16.204.0/24,71,104.16.192.0/20
104.16.205.0/24,69,104.16.192.0/20
