prefix,number_of_sites,backing_prefix
2001:550:1::/48,3,2001:550::/32
2001:558:feed::/48,5,2001:558::/29
2001:578:3f::/48,2,2001:578::/30
2001:678:10::/48,8,2001:678:10::/48
2001:678:11::/48,5,2001:678:11::/48
2001:678:12::/48,4,2001:678:12::/48
2001:678:15::/48,2,2001:678:15::/48
2001:678:1::/48,5,2001:678:1::/48
2001:678:1b::/48,8,2001:678:1b::/48
2001:678:1c::/48,4,2001:678:1c::/48
2001:678:20::/48,13,2001:678:20::/48
2001:678:24::/48,3,2001:678:24::/48
2001:678:28::/48,22,2001:678:28::/48
2001:678:2::/48,4,2001:678:2::/48
2001:678:2c::/48,5,2001:678:2c::/48
2001:678:34::/48,2,2001:678:34::/48
2001:678:3::/48,23,2001:678:3::/48
2001:678:40::/48,7,2001:678:40::/48
2001:678:44::/48,7,2001:678:44::/48
2001:678:47c::/48,8,2001:678:47c::/48
2001:678:4::/48,5,2001:678:4::/48
2001:678:4bc::/48,3,2001:678:4bc::/48
2001:678:4c::/48,23,2001:678:4c::/48
2001:678:50::/48,4,2001:678:50::/48
2001:678:54::/48,4,2001:678:54::/48
2001:678:58::/48,3,2001:678:58::/48
2001:678:5::/48,5,2001:678:5::/48
2001:678:5c::/48,3,2001:678:5c::/48
2001:678:60::/48,23,2001:678:60::/48
2001:678:68::/48,2,2001:678:68::/48
2001:678:6c::/48,2,2001:678:6c::/48
2001:678:74::/48,7,2001:678:74::/48
2001:678:78::/48,23,2001:678:78::/48
2001:678:7::/48,3,2001:678:7::/48
2001:678:80::/48,2,2001:678:80::/48
2001:678:8::/48,31,2001:678:8::/48
2001:678:94::/48,22,2001:678:94::/48
2001:678:b0c::/48,2,2001:678:b0c::/48
2001:678:b::/48,2,2001:678:b::/48
2001:678:be8::/48,2,2001:678:be8::/48
2001:678:c38::/48,2,2001:678:c38::/48
2001:678:c::/48,4,2001:678:c::/48
2001:678:d::/48,8,2001:678:d::/48
2001:678:e::/48,8,2001:678:e::/48
2001:678:f::/48,5,2001:678:f::/48
2001:67c:1010::/48,13,2001:67c:1010::/48
2001:67c:1011::/48,13,2001:67c:1011::/48
2001:67c:10b8::/48,11,2001:67c:10b8::/48
2001:67c:10e0::/48,2,2001:67c:10e0::/48
2001:67c:133c::/48,3,2001:67c:133c::/48
2001:67c:13cc::/48,11,2001:67c:13cc::/48
2001:67c:14c9::/48,7,2001:67c:14c9::/48
2001:67c:1bc::/48,13,2001:67c:1bc::/48
2001:67c:258::/48,3,2001:67c:258::/48
2001:67c:25a0::/48,10,2001:67c:25a0::/48
2001:67c:2778::/48,9,2001:67c:2778::/48
2001:67c:28cc::/48,2,2001:67c:28cc::/48
2001:67c:2f8c::/48,2,2001:67c:2f8c::/48
2001:67c:2ff4::/48,2,2001:67c:2ff4::/48
2001:67c:3c0::/48,2,2001:67c:3c0::/48
2001:67c:8cc::/48,5,2001:67c:8cc::/48
2001:67c:928::/48,7,2001:67c:928::/48
2001:67c:930::/48,5,2001:67c:930::/48
2001:67c:bd4::/48,10,2001:67c:bd4::/48
2001:67c:e0::/48,6,2001:67c:e0::/48
2001:6d0:ffd5::/48,2,2001:6d0:ffd5::/48
2001:7fd::/48,13,2001:7fd::/48
2001:7fe::/48,15,2001:7fe::/33
2001:8000:101::/48,3,2001:8000::/20
2001:8d8:fe::/48,3,2001:8d8:fe::/47
2001:920:7::/48,6,2001:920::/32
2001:920:8::/48,7,2001:920::/32
2001:b18:bbbb::/48,2,2001:b18:bbbb::/48
2001:dc3::/48,5,2001:dc3::/32
2001:dc7:1000::/48,5,2001:dc7:1000::/48
2001:dc7:1::/48,4,2001:dc7:1::/48
2001:dc7:2::/48,5,2001:dc7:2::/48
2001:dc7:3::/48,4,2001:dc7:3::/48
2001:dc7::/48,5,2001:dc7::/48
2001:dc7:feff::/48,4,2001:dc7:feff::/48
2001:dc7:ffc1::/48,4,2001:dc7:ffc1::/48
2001:dc7:ffc2::/48,4,2001:dc7:ffc2::/48
2001:dc7:ffc5::/48,3,2001:dc7:ffc5::/48
2001:dc7:ffc6::/48,4,2001:dc7:ffc6::/48
2001:dc7:ffd1::/48,4,2001:dc7:ffd1::/48
2001:dc7:ffd2::/48,4,2001:dc7:ffd2::/48
2001:dc7:fffb::/48,4,2001:dc7:fffb::/48
2001:dc7:fffd::/48,5,2001:dc7:fffd::/48
2001:dc7:fffe::/48,5,2001:dc7:fffe::/48
2001:dc7:ffff::/48,5,2001:dc7:ffff::/48
2001:dcd:1::/48,12,2001:dcd:1::/48
2001:dcd:2::/48,11,2001:dcd:2::/48
2001:dcd:3::/48,13,2001:dcd:3::/48
2001:dcd:4::/48,12,2001:dcd:4::/48
2001:dcd:5::/48,11,2001:dcd:5::/48
2001:dcd:6::/48,11,2001:dcd:6::/48
2001:dcd:7::/48,12,2001:dcd:7::/48
2001:dd8:12::/48,4,2001:dd8:12::/48
2001:dd8:6::/48,2,2001:dd8:6::/48
2001:dd8:7::/48,19,2001:dd8:7::/48
2001:dd8:e::/48,4,2001:dd8:e::/48
2001:ddd::/48,7,2001:ddd::/48
2001:df1:bd80::/48,4,2001:df1:bd80::/48
2001:df5:4000::/48,2,2001:df5:4000::/48
2001:df6:7280::/48,5,2001:df6:7280::/48
2001:df7:6e80::/48,26,2001:df7:6e80::/48
2400:3200::/48,2,2400:3200::/48
2400:3200:baba::/48,2,2400:3200:baba::/48
