prefix,number_of_sites,backing_prefix
2001:1201:10::/48,2,2001:1201:10::/48
2001:1201::/48,2,2001:1201::/48
2001:1250:a000::/48,2,2001:1250:a000::/44
2001:1250:c000::/48,2,2001:1250:c000::/44
2001:12f8:2::/48,3,2001:12f8:2::/48
2001:12f8:4::/48,5,2001:12f8:4::/48
2001:12f8:8::/48,3,2001:12f8:8::/48
2001:12f8:a::/48,2,2001:12f8:a::/48
2001:12f8:c::/48,3,2001:12f8:c::/48
2001:1398:121::/48,5,2001:1398:121::/48
2001:1398:274::/48,2,2001:1398:274::/48
2001:1398:275::/48,3,2001:1398:275::/48
2001:1398:276::/48,2,2001:1398:276::/48
2001:13b4:2401::/48,3,2001:13b4::/32
2001:13c7:7010::/48,3,2001:13c7:7010::/48
2001:13c7:7012::/48,3,2001:13c7:7012::/48
2001:148f:fffb::/48,7,2001:148f:fffb::/48
2001:148f:fffd::/48,11,2001:148f:fffd::/48
2001:1838:3000::/48,2,2001:1838:3000::/40
2001:1890:fff::/48,2,2001:1890::/29
2001:18b8:a114::/48,16,2001:18b8:a114::/48
2001:1900:22b3::/48,10,2001:1900::/32
2001:1960::/48,5,2001:1960::/32
2001:1978:202::/48,2,2001:1978:202::/48
2001:1998:aff::/48,4,2001:1998::/32
2001:1998:f00::/48,2,2001:1998::/32
2001:19f0:ccc::/48,31,2001:19f0:ccc::/48
2001:19f0:ccd::/48,31,2001:19f0:ccd::/48
2001:19f0:ffff::/48,31,2001:19f0:ffff::/48
2001:200:c000::/48,3,2001:200:c000::/35
2001:240::/48,4,2001:240::/32
2001:2f8:ffff::/48,2,2001:2f8::/32
2001:300::/48,4,2001:300::/32
2001:380:a120::/48,2,2001:380::/32
2001:400:ffff::/48,2,2001:400::/32
2001:418:3ff::/48,18,2001:418::/32
2001:41d0:aaaa::/48,9,2001:41d0::/32
2001:428:101::/48,2,2001:428::/32
2001:428::/48,2,2001:428::/32
2001:4478:fe00::/48,2,2001:4478::/32
2001:44b8:1::/48,2,2001:44b8::/32
2001:470:100::/48,10,2001:470::/32
2001:470:200::/48,10,2001:470::/32
2001:470:20::/48,23,2001:470::/32
2001:470:300::/48,11,2001:470::/32
2001:470:400::/48,10,2001:470::/32
2001:470:500::/48,11,2001:470::/32
2001:4830:6000::/48,2,2001:4830:6000::/48
2001:4860:3::/48,32,2001:4860::/32
2001:4860:4802::/48,33,2001:4860::/32
2001:4860:4805::/48,2,2001:4860:4805::/48
2001:4860:4806::/48,33,2001:4860::/32
2001:4860:4812::/48,27,2001:4860::/32
2001:4860:4860::/48,33,2001:4860::/32
2001:4860:4864::/48,33,2001:4860:4864::/48
2001:4860:6::/48,32,2001:4860::/32
2001:4998:160::/48,19,2001:4998:160::/48
2001:4998:170::/48,19,2001:4998:170::/48
2001:4998:180::/48,19,2001:4998:180::/48
2001:4998:1b0::/48,11,2001:4998:1b0::/48
2001:4998:1c0::/48,12,2001:4998:1c0::/48
2001:4b98:aaaa::/48,24,2001:4b98:aaaa::/48
2001:4b98:aaab::/48,24,2001:4b98:aaab::/48
2001:4d50:10::/48,2,2001:4d50::/32
2001:4d50:181::/48,6,2001:4d50::/32
2001:4d8f:2::/48,5,2001:4d8f::/32
